contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,T,spot,mid,iv,delta,gamma,vega,theta
META251226C00280000,2025-12-19 20:16:06+00:00,280.0,386.15,381.95,386.4,0.0,0.0,1.0,1.0,4.196293817138672,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,384.17499999999995,4.196293817138672,,,,
META251226C00300000,2025-12-19 15:23:33+00:00,300.0,360.73,362.1,366.3,0.0,0.0,2.0,4.0,3.8525394311523433,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,364.20000000000005,3.8525394311523433,,,,
META251226C00320000,2025-12-03 18:43:09+00:00,320.0,325.64,342.0,346.4,0.0,0.0,,1.0,3.6040048962402342,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,344.2,3.6040048962402342,,,,
META251226C00370000,2025-11-28 15:39:33+00:00,370.0,273.52,291.8,296.45,0.0,0.0,1.0,0.0,2.972658818359375,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,294.125,2.972658818359375,,,,
META251226C00400000,2025-12-22 14:45:28+00:00,400.0,272.59,262.15,266.35,0.0,0.0,3.0,3.0,2.5966831958007814,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,264.25,2.5966831958007814,,,,
META251226C00425000,2025-11-20 19:14:16+00:00,425.0,162.79,236.8,241.45,0.0,0.0,,1.0,2.3491252209472653,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,239.125,2.3491252209472653,,,,
META251226C00430000,2025-12-22 20:05:25+00:00,430.0,229.25,232.05,236.45,0.0,0.0,1.0,4.0,2.295902697753906,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,234.25,2.295902697753906,,,,
META251226C00450000,2025-12-22 19:58:50+00:00,450.0,209.44,212.15,216.35,0.0,0.0,1.0,3.0,2.0668993640136715,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,214.25,2.0668993640136715,,,,
META251226C00460000,2025-11-19 17:39:06+00:00,460.0,124.95,202.05,206.5,0.0,0.0,,1.0,1.9982910241699217,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,204.275,1.9982910241699217,,,,
META251226C00465000,2025-12-16 15:04:27+00:00,465.0,187.83,197.05,201.5,0.0,0.0,6.0,4.0,1.9482424462890626,True,REGULAR,USD,call,2025-12-26,0.00609492765550482,664.6799926757812,199.275,1.9482424462890626,,,,
