contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,T,spot,mid,iv,delta,gamma,vega,theta
SPY251224C00500000,2025-12-23 16:48:01+00:00,500.0,186.72,185.67,188.24,7.0200043,3.9065132,15.0,15,2.0878954052734366,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,186.95499999999998,2.0878954052734366,,,,
SPY251224C00510000,2025-12-16 16:58:20+00:00,510.0,168.38,175.71,178.38,0.0,0.0,,0,2.0351611621093753,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,177.04500000000002,2.0351611621093753,,,,
SPY251224C00520000,2025-12-15 15:43:50+00:00,520.0,161.16,165.71,168.43,0.0,0.0,,0,1.9394534277343751,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,167.07,1.9394534277343751,,,,
SPY251224C00535000,2025-12-16 16:58:41+00:00,535.0,143.47,150.71,153.36,0.0,0.0,,0,1.7436536254882813,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,152.03500000000003,1.7436536254882813,,,,
SPY251224C00545000,2025-12-16 16:58:40+00:00,545.0,133.49,140.72,143.38,0.0,0.0,,0,1.6396502392578123,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,142.05,1.6396502392578123,,,,
SPY251224C00555000,2025-12-18 18:00:05+00:00,555.0,123.04,130.72,133.38,0.0,0.0,,0,1.5302757861328122,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,132.05,1.5302757861328122,,,,
SPY251224C00560000,2025-12-16 16:57:58+00:00,560.0,118.25,125.73,128.38,0.0,0.0,,0,1.4755885595703124,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,127.055,1.4755885595703124,,,,
SPY251224C00565000,2025-12-18 18:00:05+00:00,565.0,113.2,120.72,123.26,0.0,0.0,,0,1.3818390283203121,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,121.99000000000001,1.3818390283203121,,,,
SPY251224C00570000,2025-12-18 18:00:05+00:00,570.0,108.14,115.71,118.26,0.0,0.0,,0,1.3291049169921871,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,116.985,1.3291049169921871,,,,
SPY251224C00575000,2025-12-18 18:00:05+00:00,575.0,103.24,110.72,113.26,0.0,0.0,15.0,0,1.2763708056640621,True,REGULAR,USD,call,2025-12-24,0.0006154328792491122,687.5850219726562,111.99000000000001,1.2763708056640621,,,,
